Title,Description,Start Date,End Date,Start Time,End Time,Duration,Location,Category,Scope,Goals,Features,Requirements
Building applications and websites using JavaScript,"The bootcamp aims to provide you with the knowledge and skills necessary to build and design websites and applications using JavaScript and frameworks such as React and Express. It also covers a comprehensive range of the latest technical topics that contribute to building advanced applications and websites, facilitating your entry into the workforce and streamlining the user experience within an applied learning environment under the supervision of a specialized teaching team.",10-08-2025,30-10-2025,9:00 AM,2:00 PM,09:00 AM - 02:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,Knowledge of research methods from reliable sources. | A deep understanding and application of programming concepts. | Developing and building applications and website pages. | The ability to deal with technical challenges. | Creating an effective and high-quality user experience.,A boot camp for outstanding students that ends with employment. | A learning methodology based on practical applications. | A supportive and competitive learning environment.,The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Previous knowledge of a programming language.
Develop mobile and web applications using Flutter,"The Flutter and Dart App Development Bootcamp offers you a comprehensive experience to gain programming skills from the basics to professional app publishing. You'll learn the basics of the Dart language, design distinctive user interfaces using Flutter, and understand the differences in mobile app development. You'll also learn how to use third-party libraries, work with APIs, and connect apps to servers, with a focus on advanced technologies that support your career path and prepare you for the job market.",10-08-2025,27-11-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Learn the Dart language and the Flutter framework, with a focus on associated tools, to enable them to develop modern and effective mobile applications. | Apply the acquired skills and concepts through practical projects and daily challenges, enhancing participants' analytical thinking and problem-solving skills. | Teach participants how to build integrated mobile applications, including interface design, database connectivity, and state management, using programming best practices. | Prepare participants to address common challenges that arise during application development by providing practical solutions and effective techniques to improve performance and ensure stability. | Prepare participants with the technical and professional skills necessary to meet the job market demands in the field of application development.","Designed for Beginners: The camp offers a streamlined, step-by-step approach to help participants build a solid foundation in programming and app development. | Intensive Practical Learning: The camp includes practical sessions and applications that enhance understanding and develop practical application skills. | Covering the Latest Technologies: Learn about the latest tools and practices in mobile and web app development using Flutter and Dart. | Real-World Projects: The camp gives you the opportunity to implement real-world projects that reinforce your acquired skills and prepare you for the job market. | Job Market Skills: The program helps you acquire the technical skills required in app development, enhancing your career prospects. | Interactive Activities and Projects: A challenging learning experience that integrates hands-on learning. | Certified Certifications: Participants receive certificates of attendance provided by Tuwaiq Academy, adding value to your resume. | The camp is delivered in Arabic: To ensure that information is easily accessible and understood by all participants. | Ongoing Technical Support: A support team and experts are available to answer your questions throughout the camp. | An Interactive Learning Community: An opportunity to connect with professional trainers and fellow participants to share experiences and expand your professional network.",Personal laptop. | Technical diploma or higher. | Full-time availability during the program. | Commitment to attending all training sessions. | Good level of English. | Ability to work in a team and participate effectively in activities. | Completion of the Flutter App Development track on the Satr platform. | Completion of the SQL 101 course on the Satr platform. | Completion of the SQL 102 course on the Satr platform.
User Experience Design (UX/UI),"The camp aims to enable participants to understand the basic concepts of user interface and user experience design, including conducting user research and analyzing user needs using the User-Centric Design and Design Thinking methodology. Participants will acquire the skills to design creative solutions to improve the user experience and build professional interfaces using professional design tools such as Figma.",10-08-2025,02-10-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Software and application development,"Understand basic design principles and visual and interaction techniques to enhance user experience. | Be able to design applications and websites that help solve problems facing users in various areas of life using tools such as Figma. | Basic knowledge of the steps involved in building a user interface and experience, from research and prototyping to usability testing. | Knowledge of the fundamentals of user interface and experience design, while building a strong knowledge base that includes systems design, accessibility, interaction design, and visual design principles. | Learn user research methods to analyze user behaviors and needs and develop innovative solutions based on them. | Develop design thinking skills to work on integrated practical projects from inception to final solution delivery. | Prepare participants for the job market by enhancing their skills in preparing a professional portfolio and presenting their ideas effectively. | Increase the number of professionals in the field of user interface and experience design to meet job market needs.",A boot camp for outstanding students that ends with employment. | A learning methodology based on practical applications. | A supportive and competitive learning environment. | The camp is held in partnership with the UX Design Institute. | Qualifies trainees to obtain the Professional Certification in UX Design (PCUX) certificate. | A comprehensive portfolio with applied projects.,The applicant must be a Saudi national. | Bring a personal laptop.
Cybersecurity,"The 16-week Cybersecurity Bootcamp aims to prepare fresh graduates with advanced and comprehensive skills in various cybersecurity fields. The camp focuses on preparing participants for the job market by providing them with practical knowledge and essential skills in vulnerability analysis, reverse engineering, and security research development. The program aims to graduate security researchers capable of addressing global cybersecurity challenges.",17-08-2025,04-12-2025,10:00 AM,3:00 PM,10:00 AM - 3:00 PM,Riyadh - Headquarters,bootcamp,Cybersecurity,Qualifying highly skilled security researchers to identify vulnerabilities and develop world-class security research. | Building the core skills of the security research community in the Kingdom. | Developing trainees with the most important skills and capabilities required in the field of cybersecurity.,Practical projects. | Certificate of attendance provided by Tuwaiq Academy upon completion of the camp. | Camp leading to employment for outstanding students. | A supportive and competitive learning environment.,The applicant must be a Saudi national. | Bachelor's degree in a technical field. | Background in reverse engineering and software analysis. | Familiarity with vulnerabilities and related issues. | Full-time availability during the camp period. Proficiency in English. | Must bring a personal laptop.
Cloud Computing Engineering with Google Cloud,"The camp aims to equip trainees with the practical and technical skills necessary to design and implement cloud solutions on Google Cloud efficiently and professionally. It covers a wide range of services such as Compute Engine, Cloud Storage, BigQuery, and Cloud SQL, in addition to networking setup using VPC, load balancing, and Cloud CDN. It also covers securing cloud environments through identity and privilege management, as well as performance optimization, container management, and automation and deployment implementation.",07-09-2025,02-10-2025,4:00 PM,8:00 PM,04:00 PM - 08:00 PM,Riyadh - Headquarters,bootcamp,Cloud computing,"Understand Google Cloud architecture and manage core cloud services such as Compute Engine, Cloud Storage, and BigQuery. | Interact with your Google Cloud environment through the Cloud Console and Cloud Shell to execute cloud tasks. | Set up and manage cloud networks using VPC, Cloud Load Balancing, and Cloud CDN. | Secure access to resources via Cloud IAM and apply best practices for security, key management, and encryption. | Deploy cloud applications. | Monitor performance and optimize costs using Cloud Monitoring, Logging, and BigQuery. | Manage billing and analyze usage to control costs and optimize resource consumption. | Automate deployment and management processes using Terraform and Cloud Deployment Manager. | Implement hybrid and multi-cloud solutions via Interconnect and VPN to bridge cloud and on-premises infrastructure. | Troubleshoot issues in your Google Cloud environment to ensure consistent performance and operational efficiency.","A practical application-based learning methodology. | A stimulating and interactive learning environment that enables collaboration among trainees to enhance the learning experience. | Guidance and mentorship from certified trainers to ensure quality learning and understanding of core concepts. | Preparing participants for Google Cloud certifications such as Associate Cloud Engineer, enhancing opportunities to apply knowledge in daily work. | Enhancing employment opportunities in the field of cloud computing | Preparing trainees for the job market.","The applicant must be a Saudi national. | Bring a personal laptop. | Bachelor's degree in a technical field. | Commitment to attending all training sessions. | Good proficiency in English. | The trainee must have a basic background in information technology (e.g., networks, operating systems, and databases) and be prepared for practical learning and the use of technical tools."
Fundamentals of Electronic Circuit Soldering,"This course provides a comprehensive overview of the soldering techniques and tools used in assembling electronic circuits.
It aims to teach participants how to solder and inspect electronic components accurately and efficiently, with a strong emphasis on safety and quality. Participants will learn how to operate soldering equipment, identify various electronic components, and perform proper soldering to ensure reliable electrical connections.",18-05-2025,22-05-2025,10:00 AM,2:00 PM,10:00 AM - 02:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Understand the fundamentals and tools of electronic soldering | Identify types and characteristics of electronic components | Use soldering tools and auxiliary materials correctly | Professionally solder and desolder electronic components | Inspect soldering quality and identify/correct common errors | Apply safety procedures when using soldering tools.,Intensive hands-on training with a focus on real-world applications | Small training groups to ensure direct interaction with the instructor | Provision of training materials and tools for practical application | Certificate of completion issued by the academy.,The applicant must be Saudi. | Own a personal laptop. | Preferably have a basic background in electronics.
Deep Learning with Keras,"This training program focuses on deep learning using the Keras tool,
aiming to equip learners with the necessary skills to develop and implement deep learning models using the Keras framework within a Python environment.
",18-05-2025,29-05-2025,2:00 PM,4:00 PM,02:00 PM - 04:00 PM,Remote,Program,Data Science and Artificial Intelligence,"Understand the principles of deep learning and neural networks | Acquire the skills to use Keras for building and training deep models | Learn techniques for optimizing and evaluating model performance | Implement real-world applications using Keras such as classification, prediction, and segmentation.",Application-based learning methodology | Supportive and competitive learning environment.,The applicant must be Saudi. | Own a personal laptop. | The applicant must hold a bachelor's degree.
Fundamentals of Design and 3D Printing,"The 3D Design and Printing program offers hands-on experience in 3D modeling using Onshape software.
Participants will learn the fundamentals of engineering modeling, editing designs, and preparing them for printing. The program also provides a comprehensive introduction to 3D printing, covering printer mechanisms, types, and materials used, all within an applied learning environment supervised by a specialized teaching team.",18-05-2025,22-05-2025,5:00 PM,9:00 PM,05:00 PM - 09:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Enable students to use Onshape to create professional 3D designs | Understand how 3D printers work and how to operate them | Prepare and design projects ready for printing | Develop skills in engineering design and digital manufacturing..,Intensive hands-on training focused on real-world scenarios | Small training groups for effective instructor engagement and provision of necessary materials and tools | Certificate of completion accredited by the academy.,The applicant must be Saudi. | Own a personal laptop. | Must hold a bachelor's degree in a technical field.
Drone Programming and Operation,"This program focuses on the technical programming concepts behind drones and the engineering and scientific principles that support them.
Participants will explore drone components and systems, how to integrate them with programming for control, and will simulate and operate drones in virtual physics-based environments to test a variety of operational tasks.",18-05-2025,29-05-2025,6:00 PM,8:00 PM,06:00 PM - 08:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,Learn drone programming tools | Explore and build virtual simulation systems | Complete hands-on projects to enhance drone programming skills.,Interactive semester project for building a virtual drone programming environment | Hands-on drone programming training | Program delivered in Arabic., The applicant must be Saudi. | Commitment to attend all training sessions. | Good level of English. | Programming background.
Aerial Inspection,"This training program is designed to equip participants with the knowledge and practical skills needed to perform aerial inspections using drones across different fields,
including energy, infrastructure, and construction. It combines theoretical education with field training, enabling participants to safely operate drones, plan inspection tasks, collect high-quality data, and analyze results to support informed and cost-effective decision-making by relevant stakeholders.
",18-05-2025,29-05-2025,6:00 PM,8:00 PM,06:00 PM - 08:00 PM,Riyadh - Headquarters,Program,Mechatronics Engineering,"Understand types of drones, sensors, and their applications in aerial inspection | Learn GACA and GEOSA regulations, safety protocols, and risk assessment methods | Plan aerial inspection missions using best practices | Execute real-world drone inspection scenarios | Apply data processing techniques using various software and tools.",Practical day at Banban Airport on the first Saturday | Realistic simulation of aerial inspection applications | Hands-on experience operating state-of-the-art drones | Certificate of completion.,The applicant must be Saudi. | Good level of English. | Commitment to attend practical sessions at Banban Airport.
"Mastering Cybersecurity Governance, Risk, and Compliance (GRC","This program provides comprehensive training to equip participants with the skills and competencies needed to manage cybersecurity governance and risk.
It focuses on enabling institutional compliance and achieving effectiveness through best practices aligned with market needs. Participants will learn how to assess cyber risks and implement appropriate cybersecurity controls.",18-05-2025,22-05-2025,7:00 PM,10:00 PM,07:00 PM- 10:00 PM,Riyadh - Headquarters,Program, Cybersecurity,"Develop various cybersecurity governance, risk, and compliance documents efficiently | Develop and review cybersecurity controls and policies in line with international best practices | Conduct cybersecurity assessments aligned with global standards | Understand and link relevant cybersecurity legislation and policies across global, GCC, and Saudi contexts.","Application-based learning methodology | Supportive and competitive environment | Program delivered in Arabic | Practical linkage between scientific knowledge and skills and real-world capabilities through case studies from local and global companies in Saudi Arabia | Development of policies, controls, and cyber risk assessments for real-life scenarios.",The applicant must be Saudi. | Own a personal laptop. | Bachelor's degree in a technical field
